Feature,Importance
num__Approval_Ratio,0.52118725
num__Days_Between_Service_and_Claim,0.11061496
cat__Claim_Status_Approved,0.08803809
cat__Claim_Status_Pending,0.0331857
cat__Claim_Status_Rejected,0.02165378
num__High_Claim,0.015796037
cat__Provider_Specialty_Orthopedics,0.014422642
num__Approved_Amount,0.009110219
num__Claim_Amount,0.008831069
cat__Diagnosis_Code_J06.9,0.008540635
cat__Patient_State_IL,0.008265609
cat__Patient_State_NY,0.0077996394
cat__Diagnosis_Code_J18.9,0.007621802
cat__Diagnosis_Code_K21.9,0.0069651715
cat__Diagnosis_Code_I25.10,0.006636705
cat__Diagnosis_Code_M54.5,0.006590569
cat__Diagnosis_Code_E78.5,0.0054893307
cat__Diagnosis_Code_N39.0,0.0054489207
cat__Provider_Specialty_Pulmonology,0.0053488445
cat__Diagnosis_Code_E11.9,0.00527274
num__Risk_Score,0.0051501407
cat__Diagnosis_Code_F41.9,0.0051152995
cat__Patient_State_PA,0.0048799394
cat__Insurance_Type_Medicare,0.0047845147
cat__Patient_State_FL,0.00468835
cat__Patient_State_CA,0.004365249
cat__Insurance_Type_Medicaid,0.0043531526
cat__Diagnosis_Code_I10,0.0043484354
cat__Insurance_Type_Private,0.0041766567
cat__Patient_State_TX,0.003950134
cat__Insurance_Type_Self-Pay,0.0038588804
cat__Provider_Specialty_Neurology,0.0038529455
num__Chronic_Condition_Flag,0.003820026
cat__Patient_State_GA,0.00379901
cat__Provider_Specialty_Internal Medicine,0.0035170466
cat__Provider_Specialty_General Practice,0.003515494
num__Prior_Visits_12m,0.003433827
num__Number_of_Claims_Per_Provider_Monthly,0.003289563
cat__Patient_State_OH,0.0032446133
cat__Provider_Specialty_Cardiology,0.003226613
num__High_Provider_Load,0.0028053392
cat__Visit_Type_Emergency,0.0026579543
cat__Patient_Gender_Male,0.0025121288
cat__Visit_Type_Outpatient,0.0025004793
cat__Patient_Gender_Female,0.0022745333
num__Length_of_Stay,0.0022616547
num__Procedure_Code,0.002122734
cat__Visit_Type_Inpatient,0.002100581
num__Patient_Age,0.0020367114
num__Frequent_Visitor,0.0005382717
num__Long_Stay,0.0
